mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2012_QF_104_110,2012,QF,104,110,a,h,2012-09-07 19:50,M.C.G.,85639,38,135,110,h,97,a,104,110,135,4,9,15,20,0,6,10,13,15,0,104,97,2,7,12,15,0,3,4,7,7,0
2012_QF_101_116,2012,QF,101,116,a,h,2012-09-08 14:45,Football Park,44849,29,71,116,h,42,a,101,116,71,2,7,8,11,0,2,2,4,5,0,101,42,1,2,3,5,0,3,7,10,12,0
2012_EF_106_107,2012,EF,106,107,h,a,2012-09-08 19:45,M.C.G.,44460,16,96,106,h,80,a,107,106,96,5,8,12,14,0,7,9,11,12,0,107,80,0,3,6,11,0,1,5,9,14,0
2012_EF_112_117,2012,EF,112,117,a,h,2012-09-09 13:15,Subiaco,41790,96,162,117,h,66,a,112,117,162,7,11,15,24,0,4,8,11,18,0,112,66,0,2,8,9,0,3,8,10,12,0
2012_SF_101_106,2012,SF,101,106,h,a,2012-09-14 20:15,Football Park,31742,10,81,101,h,71,a,106,101,81,1,4,8,12,0,3,7,9,9,0,106,71,4,7,8,11,0,1,2,4,5,0
2012_SF_104_117,2012,SF,104,117,h,a,2012-09-15 19:45,M.C.G.,65483,13,73,104,h,60,a,117,104,73,3,4,8,10,0,4,5,10,13,0,117,60,5,6,7,9,0,1,4,6,6,0
2012_PF_104_116,2012,PF,104,116,a,h,2012-09-21 19:50,Stadium Australia,57156,26,96,116,h,70,a,104,116,96,5,7,9,13,0,5,9,14,18,0,104,70,2,3,5,10,0,3,6,8,10,0
2012_PF_101_110,2012,PF,101,110,a,h,2012-09-22 17:15,M.C.G.,69146,5,97,110,h,92,a,101,110,97,2,5,11,13,0,6,10,14,19,0,101,92,4,7,10,14,0,1,3,4,8,0
2012_GF_110_116,2012,GF,110,116,a,h,2012-09-29 14:30,M.C.G.,99683,10,91,116,h,81,a,110,116,91,1,7,10,14,0,4,4,5,7,0,110,81,4,4,9,11,0,5,6,10,15,0
2013_QF_110_116,2013,QF,110,116,h,a,2013-09-06 19:50,M.C.G.,59615,54,105,110,h,51,a,116,110,105,3,4,9,15,0,4,7,9,15,0,116,51,3,4,5,7,0,3,7,8,9,0
